# logical_id	group	plural	kind	scope	api_version	scenario	crd_url
volcanoqueue	scheduling.volcano.sh	queues	Queue	Cluster	v1beta1	all	https://raw.githubusercontent.com/volcano-sh/volcano/v1.15.2/config/crd/volcano/bases/scheduling.volcano.sh_queues.yaml
volcanopodgroup	scheduling.volcano.sh	podgroups	PodGroup	Namespaced	v1beta1	all	https://raw.githubusercontent.com/volcano-sh/volcano/v1.15.2/config/crd/volcano/bases/scheduling.volcano.sh_podgroups.yaml
jobflow	flow.volcano.sh	jobflows	JobFlow	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/volcano-sh/volcano/v1.15.2/config/crd/jobflow/bases/flow.volcano.sh_jobflows.yaml
jobtemplate	flow.volcano.sh	jobtemplates	JobTemplate	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/volcano-sh/volcano/v1.15.2/config/crd/jobflow/bases/flow.volcano.sh_jobtemplates.yaml
kaiqueue	scheduling.run.ai	queues	Queue	Cluster	v2	all	https://raw.githubusercontent.com/NVIDIA/KAI-Scheduler/v0.17.0/deployments/kai-scheduler/crds/scheduling.run.ai_queues.yaml
kaipodgroup	scheduling.run.ai	podgroups	PodGroup	Namespaced	v2alpha2	all	https://raw.githubusercontent.com/NVIDIA/KAI-Scheduler/v0.17.0/deployments/kai-scheduler/crds/scheduling.run.ai_podgroups.yaml
pytorchjob	kubeflow.org	pytorchjobs	PyTorchJob	Namespaced	v1	all	https://raw.githubusercontent.com/kubeflow/training-operator/v1.9.4/manifests/base/crds/kubeflow.org_pytorchjobs.yaml
tfjob	kubeflow.org	tfjobs	TFJob	Namespaced	v1	all	https://raw.githubusercontent.com/kubeflow/training-operator/v1.9.4/manifests/base/crds/kubeflow.org_tfjobs.yaml
mpijob	kubeflow.org	mpijobs	MPIJob	Namespaced	v1	all	https://raw.githubusercontent.com/kubeflow/training-operator/v1.9.4/manifests/base/crds/kubeflow.org_mpijobs.yaml
trainjob	trainer.kubeflow.org	trainjobs	TrainJob	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/kubeflow/training-operator/v2.3.0/manifests/base/crds/trainer.kubeflow.org_trainjobs.yaml
kaitoworkspace	kaito.sh	workspaces	Workspace	Namespaced	v1beta1	all	https://raw.githubusercontent.com/Azure/kaito/v0.12.0/config/crd/bases/kaito.sh_workspaces.yaml
ragengine	kaito.sh	ragengines	RAGEngine	Namespaced	v1beta1	all	https://raw.githubusercontent.com/Azure/kaito/v0.12.0/config/crd/bases/kaito.sh_ragengines.yaml
nimservice	apps.nvidia.com	nimservices	NIMService	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/NVIDIA/k8s-nim-operator/v3.1.2/config/crd/bases/apps.nvidia.com_nimservices.yaml
nimcache	apps.nvidia.com	nimcaches	NIMCache	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/NVIDIA/k8s-nim-operator/v3.1.2/config/crd/bases/apps.nvidia.com_nimcaches.yaml
nimpipeline	apps.nvidia.com	nimpipelines	NIMPipeline	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/NVIDIA/k8s-nim-operator/v3.1.2/config/crd/bases/apps.nvidia.com_nimpipelines.yaml
deviceconfig	amd.com	deviceconfigs	DeviceConfig	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/ROCm/gpu-operator/v1.5.1/config/crd/bases/amd.com_deviceconfigs.yaml
